categoric-a1,categoric-a2,categoric-a3,categoric-a4,categoric-a5,categoric-a6,categoric-a7,categoric-a8,categoric-a9,categoric-a10,categoric-a11,categoric-a12,categoric-a13,categoric-a14,categoric-a15,categoric-a16,class-_
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,class1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class4
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,class1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,class1
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,class4
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class4
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,class1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,class2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class4
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,class7
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,class7
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,class7
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,class2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,class4
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,class1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,class2
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,class2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,class2
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,class6
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,class5
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,class5
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,class1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,class1
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class6
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,class1
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,class1
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,class2
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,class4
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,class1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,class1
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,class2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,class4
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,class6
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class6
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,class2
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,class6
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,class7
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,class1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,class1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,class1
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class6
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,class5
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,class7
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,class1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,class1
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,class2
